種別（1: 国際学会・論文誌; 2: その他）,発表年,著者,タイトル,"誌名, 巻・号, ページ, 年",URL
2,2012,"新井 紀子, 松崎 拓也",ロボットは東大に入れるか?,"人工知能学会誌 , 27(5), 463-469, 2012年9月",http://ci.nii.ac.jp/naid/110009496293
1,2011,"Hideki Shima, Hiroshi Kanayama, Cheng-Wei Lee, Chuan-Jie Lin, Teruko Mitamura, Yusuke Miyao, Shuming Shi and Koichi Takeda",Overview of NTCIR-9 RITE: Recognizing Inference in TExt,"Proceedings of NTCIR-9, 2011.",http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings9/NTCIR/01-NTCIR9-OV-RITE-ShimaH-revised-20120424.pdf
2,2012,"宮尾祐介, 嶋英樹, 金山博, 三田村照子",大学入試センター試験を題材とした含意関係認識技術の評価,"言語処理学会第18回年次大会予稿集, 2012年3月",www.anlp.jp/proceedings/annual_meeting/2012/pdf_dir/C2-9.pdf
2,2012,"宮尾祐介, 川添愛, 松崎拓也, 横野光",言語処理技術の統合的評価基盤としての大学入試問題,"言語処理学会第18回年次大会予稿集, 2012年3月",www.anlp.jp/proceedings/annual_meeting/2012/pdf_dir/D4-5.pdf
2,2012,"市川浩丈, 松崎拓也, 宮尾祐介",時間表現と固有表現を標識とする ウィキペディアからの言い換え知識獲得,"言語処理学会第18回年次大会予稿集, 2012年3月",www.anlp.jp/proceedings/annual_meeting/2012/pdf_dir/P3-5.pdf
2,2012,"川添愛, 宮尾祐介, 松崎拓也, 横野光, 新井紀子",計算機による大学入試問題への解答に向けた世界史オントロジーの設計,"人工知能学会第26回全国大会, 2012年6月",https://kaigi.org/jsai/webprogram/2012/pdf/437.pdf
2,2012,宮尾 祐介、川添 愛,「大学入試問題を解く」ことから見える言語， 知識，世界理解に関する研究課題,"人工知能学会誌,27(5), 2012年9月",https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=8107&file_id=22&file_no=1
1,2012,"Hiroshi Kanayama, Yusuke Miyao and John Prager",Answering Yes/No Questions via Question Inversion,Proceedings of COLING 2012.  2012.,www.aclweb.org/anthology/C12-1084
1,2012,"Yusuke Miyao, Hideki Shima, Hiroshi Kanayama, Teruko Mitamura",Evaluating Textual Entailment Recognition for University Entrance Examinations,"ACM Transactions on Asian Language Information Processing, 2012.",https://dl.acm.org/citation.cfm?id=2382595&dl=ACM
2,2013,"金山 博, 宮尾 祐介",ファクトイド型質問応答を用いた正誤判定問題の解決,"言語処理学会第19回年次大会, 2013年3月",www.anlp.jp/proceedings/annual_meeting/2013/pdf_dir/B2-3.pdf
2,2013,"金子貴美, 宮尾祐介, 戸次大介",基本文関係に分解した含意関係認識日本語評価データの構築,"言語処理学会第19回年次大会, 2013年3月",www.anlp.jp/proceedings/annual_meeting/2013/pdf_dir/B6-3.pdf
2,2013,"金子 貴美, 戸次 大介, 宮尾 祐介",基本文関係に分解した日本語含意関係認識アノテーション,"人工知能学会全国大会（第27回）, 2013年6月",https://kaigi.org/jsai/webprogram/2013/pdf/388.pdf
2,2013,"田 然, 宮尾 祐介",関係代数に基づく推論の含意関係認識への応用,"人工知能学会全国大会（第27回）, 2013年6月",https://kaigi.org/jsai/webprogram/2013/pdf/164.pdf
2,2013,"川添 愛, 宮尾 祐介, 松崎 拓也, 横野 光, 新井 紀子",「史実としてありえない」という判断を可能にする世界史オントロジー,"人工知能学会全国大会（第27回）, 2013年6月",https://kaigi.org/jsai/webprogram/2013/pdf/647.pdf
2,2013,"植松 すみれ, 松崎 拓也, 花岡 洋輝, 宮尾 祐介, 美馬 秀樹",統語・意味コーパスの統合と再解釈による大規模な日本語CCG文法の開発,"人工知能学会全国大会（第27回）, 2013年6月",https://kaigi.org/jsai/webprogram/2013/pdf/156.pdf
1,2013,"Ran Tian, Yusuke Miyao, Takuya Matsuzaki, Hiroyoshi Komatsu",BnO at NTCIR-10 RITE: A Strong Shallow Approach and an Inference-based Textual Entailment Recognition System,"Proceedings of NTCIR-10, 2013",http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings10/pdf/NTCIR/RITE/22-NTCIR10-RITE2-TianR.pdf
1,2013,"Yotaro Watanabe, Yusuke Miyao, Junta Mizuno, Tomohide Shibata, Hiroshi Kanayama, Cheng-Wel Lee, Chuan-Jie Lin, Shuming Shi, Teruko Mitamura, Noriko Kando, Hideki Shima, Kohichi Takeda",Overview of the Recognizing Inference in Text (RITE-2) at NTCIR-10,"Proceedings of NTCIR-10, 2013",http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings10/pdf/NTCIR/RITE/01-NTCIR10-RITE2-WatanabeY.pdf
1,2013,"Sumire Uematsu, Takuya Matsuzaki, Hiroki Hanaoka, Yusuke Miyao and Hideki Mima",Integrating Multiple Dependency Corpora for Inducing Wide-coverage Japanese CCG Resources,Proceedings of ACL 2013.  2013.,www.aclweb.org/anthology/P13-1103
1,2013,"Kimi Kaneko, Daisuke Bekki, and Yusuke Miyao",Building Japanese Textual Entailment Specialized Data Sets for Inference of Basic Sentence Relations,Proceedings of ACL 2013.  2013.,www.aclweb.org/anthology/P13-2049
2,2013,横野光，稲邑哲也,物理シミュレーションと時系列データからの事象認識による物理問題解答,第27回人工知能学会全国大会，2013年6月,https://kaigi.org/jsai/webprogram/2013/paper-632.html
2,2012,稲邑　哲也，横野 光,物理モデル理解と自然言語処理の統合による理科問題の回答,"人工知能学会誌 27(5) 479-482, 2012年9月",https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=8108&file_id=22&file_no=1
2,2012,稲邑哲也，横野光，新井紀子,物理モデル理解と自然言語処理の統合による試験問題の解答生成,"第30回日本ロボット学会学術講演会予稿集, RSJ2012AC3M2-1, 2012年9月",
2,2012,横野光，稲邑哲也,テキストからの物理モデル生成に向けて,言語処理学会第18回年次大会      2012年3月,www.anlp.jp/proceedings/annual_meeting/2012/pdf_dir/D1-8.pd
2,2012,横野光，稲邑哲也,日本語のガ格に対する副助詞「は」の使用の推定,"情報処理学会 第207回自然言語処理研究会, 2012年7月",https://ipsj.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=82922&item_no=1&page_id=13&block_id=8
2,2012,"相澤彰子, 松崎拓也, 穴井宏和",自然言語処理と計算代数の接合による数学問題へのアプローチ,人工知能学会誌   27(5)    2012年9月,http://ci.nii.ac.jp/naid/110009496296
1,2012,Takuya MATSUZAKI,Toward Wide-Coverage Natural Language Mathematical Problem Solving,Proceedings of the 9th International Workshop on Logic and Engineering of Natural Language Semantics 9   66-75   2012年12月,
2,2013,松崎拓也、岩根秀直、穴井宏和、相澤彰子、新井紀子,深い言語理解と数式処理の接合による入試数学問題解答システム,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/622.pdf
2,2013,岩根秀直、松崎拓也、穴井宏和、新井紀子,数式処理による入試数学問題の解法と言語処理との接合における課題,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/347.pdf
2,2013,横野光、稲邑哲也,物理シミュレーションと時系列データからの事象認識による物理問題解答,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/632.pdf
2,2013,田然、宮尾祐介,関係代数に基づく推論の含意関係認識への応用,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/164.pdf
2,2013,川添愛、宮尾祐介、松崎拓也、横野光、新井紀子,「史実としてありえない」という判断を可能にする世界史オントロジー,２０１３年度人工知能学会全国大会（JSAI2013）論文集,https://kaigi.org/jsai/webprogram/2013/pdf/647.pdf
